,loss
0,1514.71484375
1,1436.671875
2,1366.5994873046875
3,1300.158447265625
4,1240.619873046875
5,1186.2198486328125
6,1136.4730224609375
7,1091.4891357421875
8,1048.8294677734375
9,1007.3276977539062
10,967.2474975585938
11,928.2882690429688
12,890.9129638671875
13,854.7583618164062
14,821.8472900390625
15,789.9306640625
16,761.0078735351562
17,733.4330444335938
18,708.1196899414062
19,684.7239379882812
20,663.9859619140625
21,645.5640869140625
22,628.0838623046875
23,612.0785522460938
24,596.75634765625
25,582.7559204101562
26,570.4440307617188
27,559.1480102539062
28,548.3998413085938
29,539.4739990234375
30,531.6380004882812
31,525.4218139648438
32,519.73193359375
33,513.8961181640625
34,509.2977600097656
35,505.98724365234375
36,501.2669677734375
37,497.82269287109375
38,494.3267517089844
39,491.2787780761719
40,488.2930908203125
41,485.9366455078125
42,483.7181396484375
43,480.90972900390625
44,478.88104248046875
45,476.9613952636719
46,474.8731384277344
47,473.1951904296875
48,471.03546142578125
49,469.77032470703125
50,468.3092956542969
51,465.63067626953125
52,463.4903869628906
53,462.0436706542969
54,459.52392578125
55,457.87847900390625
56,456.1862487792969
57,454.9002380371094
58,453.0973815917969
59,452.1400146484375
60,449.99566650390625
61,450.0459289550781
62,447.1148681640625
63,447.3722839355469
64,445.7996826171875
65,442.1693420410156
66,443.79766845703125
67,439.90234375
68,439.8583068847656
69,438.80279541015625
70,435.8684387207031
71,435.1719970703125
72,433.63372802734375
73,434.1581726074219
74,431.9908752441406
75,429.3457336425781
76,427.8580322265625
77,426.91375732421875
78,426.10198974609375
79,424.5642395019531
80,422.92437744140625
81,420.82391357421875
82,419.5347900390625
83,418.4231872558594
84,417.23291015625
85,415.7356872558594
86,414.25042724609375
87,412.7035827636719
88,410.9648132324219
89,409.46820068359375
90,408.39398193359375
91,406.94134521484375
92,406.72161865234375
93,404.5185852050781
94,404.14105224609375
95,402.5375061035156
96,400.80865478515625
97,399.14337158203125
98,397.70819091796875
99,396.32757568359375
100,395.46649169921875
101,393.5267028808594
102,392.9118957519531
103,390.2620849609375
104,389.3757629394531
105,388.4497985839844
106,387.6214599609375
107,386.5819396972656
108,387.23785400390625
109,384.1778869628906
110,384.7732238769531
111,381.96221923828125
112,381.57904052734375
113,379.7122802734375
114,380.43072509765625
115,378.0273132324219
116,378.7885437011719
117,377.5030517578125
118,375.3937683105469
119,376.8358154296875
120,372.823486328125
121,373.034423828125
122,371.6122741699219
123,371.2961120605469
124,369.35736083984375
125,368.021728515625
126,368.6660461425781
127,368.0667419433594
128,368.56170654296875
129,366.17608642578125
130,365.8561096191406
131,364.0823059082031
132,363.4307556152344
133,362.9078369140625
134,362.9264831542969
135,361.8804016113281
136,362.6747131347656
137,361.90032958984375
138,358.4747009277344
139,358.9368896484375
140,356.35601806640625
141,356.2716369628906
142,354.5954895019531
143,353.8829650878906
144,352.76361083984375
145,351.380615234375
146,350.9296569824219
147,350.24774169921875
148,349.337158203125
149,348.3381652832031
150,347.9303894042969
151,347.1504821777344
152,345.9051513671875
153,345.60498046875
154,344.22711181640625
155,343.779541015625
156,342.9466552734375
157,341.928466796875
158,340.6800842285156
159,340.0767517089844
160,339.12530517578125
161,338.3817138671875
162,337.5731506347656
163,336.3006896972656
164,335.64239501953125
165,334.8494873046875
166,334.2604064941406
167,333.858642578125
168,333.54266357421875
169,333.29327392578125
170,332.3861389160156
171,333.2768249511719
172,332.5959167480469
173,332.5176086425781
174,331.53790283203125
175,331.1649169921875
176,330.8014221191406
177,329.8508605957031
178,328.90753173828125
179,328.0937805175781
180,326.9219970703125
181,326.17572021484375
182,325.7154235839844
183,325.3740539550781
184,325.2247619628906
185,324.60638427734375
186,324.26214599609375
187,323.3898620605469
188,323.2647399902344
189,322.702880859375
190,322.8492431640625
191,322.0380859375
192,322.23260498046875
193,321.8510437011719
194,321.9836730957031
195,321.02960205078125
196,320.6401672363281
197,320.7002258300781
198,320.8800964355469
