,loss,lr
0,1378.75927734375,0.001
1,528.2234497070312,0.001
2,421.8883972167969,0.001
3,380.4893798828125,0.001
4,367.72418212890625,0.001
5,363.63848876953125,0.001
6,351.6794738769531,0.001
7,332.7469177246094,0.001
8,303.15386962890625,0.001
9,282.7802734375,0.001
10,271.4342956542969,0.001
11,272.3538818359375,0.001
12,282.1185302734375,0.001
13,270.1518859863281,0.001
14,269.13885498046875,0.001
15,260.16827392578125,0.001
16,255.285400390625,0.001
17,249.7150115966797,0.001
18,244.18934631347656,0.001
19,231.12400817871094,0.001
20,226.98052978515625,0.001
21,215.4742431640625,0.001
22,203.4159698486328,0.001
23,200.7325897216797,0.001
24,202.70022583007812,0.001
25,201.66175842285156,0.001
26,198.18789672851562,0.001
27,192.39744567871094,0.001
28,192.27105712890625,0.001
29,186.61407470703125,0.001
30,193.61495971679688,0.001
31,196.04783630371094,0.001
32,186.32981872558594,0.001
33,187.2677764892578,0.001
34,184.2805938720703,0.001
35,179.27578735351562,0.001
36,183.69412231445312,0.001
37,182.23863220214844,0.001
38,193.73020935058594,0.001
39,192.78253173828125,0.001
40,182.97769165039062,0.001
41,177.11013793945312,0.001
42,172.8905029296875,0.001
43,174.1441192626953,0.001
44,175.6739044189453,0.001
45,172.28004455566406,0.001
46,175.0269775390625,0.001
47,178.63792419433594,0.001
48,175.20138549804688,0.001
49,170.31150817871094,0.001
50,176.01431274414062,0.001
51,173.43006896972656,0.001
52,170.05807495117188,0.001
53,180.2935791015625,0.001
54,180.14576721191406,0.001
55,175.3710479736328,0.001
56,170.24830627441406,0.001
57,170.57479858398438,0.001
58,172.04734802246094,0.001
59,173.2845001220703,0.001
60,171.90505981445312,0.001
61,174.92987060546875,0.001
62,169.97689819335938,0.001
63,169.35951232910156,0.001
64,182.47958374023438,0.001
65,175.02130126953125,0.001
66,171.6737518310547,0.001
67,177.31736755371094,0.001
68,172.29771423339844,0.001
69,168.14825439453125,0.001
70,169.68020629882812,0.001
71,165.5509796142578,0.001
72,167.8756866455078,0.001
73,163.63058471679688,0.001
74,166.34469604492188,0.001
75,167.93309020996094,0.001
76,165.46969604492188,0.001
77,163.94161987304688,0.001
78,164.492431640625,0.001
79,169.67201232910156,0.001
80,162.64508056640625,0.001
81,160.78404235839844,0.001
