,loss
0,2.6986539363861084
1,2.695897340774536
2,2.693291664123535
3,2.6908934116363525
4,2.6877379417419434
5,2.6844499111175537
6,2.680650472640991
7,2.676807403564453
8,2.6717517375946045
9,2.666224241256714
10,2.659693717956543
11,2.6519386768341064
12,2.6427035331726074
13,2.6319589614868164
14,2.6191887855529785
15,2.602660894393921
16,2.583033800125122
17,2.5609734058380127
18,2.5332930088043213
19,2.502131700515747
20,2.462312936782837
21,2.4186830520629883
22,2.3628439903259277
23,2.299974203109741
24,2.2359225749969482
25,2.1635801792144775
26,2.0730462074279785
27,1.9743467569351196
28,1.8780142068862915
29,1.7663710117340088
30,1.6693356037139893
31,1.582026720046997
32,1.5097943544387817
33,1.4635405540466309
34,1.429042935371399
35,1.3977521657943726
36,1.3662269115447998
37,1.341567039489746
38,1.3219075202941895
39,1.3025281429290771
40,1.2923661470413208
41,1.2820329666137695
42,1.2713394165039062
43,1.2610321044921875
44,1.252219796180725
45,1.2442926168441772
46,1.2384170293807983
47,1.2325687408447266
48,1.226597547531128
49,1.2199347019195557
50,1.214233160018921
51,1.2082642316818237
52,1.2027214765548706
53,1.1982475519180298
54,1.1940935850143433
55,1.1901079416275024
56,1.1858476400375366
57,1.1813524961471558
58,1.1793692111968994
59,1.175966739654541
60,1.1717897653579712
61,1.1680943965911865
62,1.1646291017532349
63,1.160170316696167
64,1.1562116146087646
65,1.1531037092208862
66,1.1501853466033936
67,1.1469495296478271
68,1.1432063579559326
69,1.1389806270599365
70,1.1356253623962402
71,1.1331191062927246
72,1.1296801567077637
73,1.1260294914245605
74,1.122345209121704
75,1.1143829822540283
76,1.1102428436279297
77,1.1064831018447876
78,1.1015924215316772
79,1.0977377891540527
80,1.093917727470398
81,1.089755892753601
82,1.0864403247833252
83,1.0827410221099854
84,1.0785162448883057
85,1.0745086669921875
86,1.0705041885375977
87,1.0667520761489868
88,1.062488079071045
89,1.0585057735443115
90,1.054407000541687
91,1.0497220754623413
92,1.0451456308364868
93,1.040832281112671
94,1.036574125289917
95,1.0319454669952393
96,1.0265047550201416
97,1.020918846130371
98,1.0147496461868286
99,1.0094743967056274
100,1.0040045976638794
101,0.9980624318122864
102,0.9914043545722961
103,0.9838305711746216
104,0.9761097431182861
105,0.9695868492126465
106,0.9604005217552185
107,0.9522624015808105
108,0.9427882432937622
109,0.9343281984329224
110,0.9249959588050842
111,0.9157629609107971
112,0.9059127569198608
113,0.8964811563491821
114,0.8858980536460876
115,0.8743999004364014
116,0.8634042739868164
117,0.8506509065628052
118,0.8376421332359314
119,0.8266574740409851
120,0.8141684532165527
121,0.799945592880249
122,0.7892028093338013
123,0.7750712633132935
124,0.7683408856391907
125,0.7568222284317017
126,0.7450228929519653
127,0.7337530851364136
128,0.7208772301673889
129,0.7106796503067017
130,0.7027388215065002
