Country Name,Albania,Angola,Australia,Azerbaijan,Bangladesh,Belarus,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czech Republic,Denmark,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Guatemala,Honduras,Hungary,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kyrgyz Republic,Latvia,Lithuania,Malaysia,Mexico,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Saudi Arabia,Senegal,Slovak Republic,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Tanzania,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States,Uruguay
Albania,1.0,3.557283575320115,2.063989673674744,2.037325465934831,1.9997722667691373,3.1740704686274994,2.1564954252063484,1.9893085408400397,1.810802836962676,2.278008917885303,2.0691620846662544,2.341836482772205,1.8450656246090245,1.5898217762332525,2.2721297752055314,2.12641419624459,2.355127223273115,2.1108460750935,2.181963332725247,2.2624983973889967,3.9382306679996346,2.3562487821523472,2.7683148489663822,1.5713893645391472,2.6613147816094376,1.7518877337558445,2.1337176753258333,2.0343687748650576,2.287937231159282,1.6974205819628287,2.0608146028580423,2.420141901559191,2.047133452377346,2.23050166577597,2.0783040452016297,1.8342648418132148,2.232356295806265,3.2654702748196542,1.5417772253546382,2.099056885811922,1.8478346146067586,2.0701010569622924,2.5612257551472273,2.124930509264175,2.375459896258783,2.1883320425337205,2.066560836596133,1.7996209057478647,2.330753562896988,1.9574132140491367,2.0177949742248935,2.0706721636216887,1.8995987858806822,2.5168046512339375,2.4342401051919222,2.303018160755794,2.2619072278166983,1.883037699968116,1.9569989753926074,2.071748651068804,2.16665324497798,2.220248532209778,2.495111000459057,3.273778978541772,2.365939112798821,2.0421339291221767,2.913516159759594,2.8625491401012657,2.0962457413830515,1.8141343875151787,1.9368911453287054,2.3125427086918235,2.513678470435182,2.1191216144511786,2.53094103853904,2.25777235188429,2.82568924234065,2.4875561409947213,1.9744766262157307,2.0899916844342292,1.843192161841245
Angola,3.557283575320115,1.0,2.391239305359307,3.7008950467999786,4.530324749947296,1.017982811115155,2.3750285205455914,3.4219087211508374,2.972345437151022,1.605506691715534,3.939683195378399,2.635224211025417,2.2954027171213567,2.9909185759635344,4.442346324399186,2.151012068278879,1.4923262044163828,2.565193780411319,2.2174549927704,1.4479490795459153,0.6552153818959644,4.383298379981848,2.362330359501388,2.979031479332063,2.621791295520408,2.0157997736943147,3.375174567621885,2.5951108453053164,2.443130254146723,2.423049527797932,2.1479922612014333,1.6063313113646007,3.5858227440549526,2.642967432104755,3.4315663987045197,1.8427407078866955,2.413649429621606,6.104767070654741,4.308854807245859,3.455657249105814,3.071081489330285,1.8364308127964224,2.4689617514054603,3.0531422672997053,3.943966735423467,3.4368898993764962,2.857592192533118,2.555802726772065,2.7675951872600737,3.619349233799039,1.943028609693093,1.765109199477023,3.549354855607008,2.69342815277491,3.096126917121608,4.147336982050547,3.2087327085622346,3.5556536613415313,2.492368674565648,3.025911939315104,2.2821749158679716,2.056997778493603,1.918985193450542,1.0748003834774138,1.5034823879230077,4.758911995282832,3.2957715944787,1.8178696589261154,3.9297298090854604,2.3839791531161625,2.1974689542895716,3.3512347888166807,3.062562638000991,3.345582346733524,3.1616124698283716,4.7044999565619925,1.5410132512982775,2.9472657248058063,2.7485678761455925,2.3797985466303926,3.9969527411206918
Australia,2.063989673674744,2.391239305359307,1.0,3.2888854736465842,1.9773771686337485,2.407230309807769,1.6198903244002985,1.8035849810298408,1.2950230100623397,1.6517763833138646,3.444277635162799,2.1200525338999654,1.1832135545258093,1.618742001084421,3.076883963422527,1.0009460814346243,1.5008402413732491,1.9547824750182425,1.8184749023522953,1.307524305093051,3.2989209831449626,2.8211619458938584,2.2429866915022862,1.9265548679205733,1.9191450790677893,1.5314803419308352,2.131725798067489,1.5837473322350255,1.2836821110900498,1.1315063564806345,0.7253294697722724,1.2678537861412011,1.7369806062695106,1.0131889719413831,3.292709488947679,1.4249334302896075,1.6032142102670133,6.751674251387435,3.022860673203241,0.9916604658446256,1.6607309616537715,1.019471005066961,2.205598008367405,2.7021244959464887,3.178587414071078,2.2134662712017055,1.0396474406492482,1.7503120335406157,1.664970752914766,2.172655242369697,1.1241787915098957,1.2587071899688962,1.304327253737585,2.6352536175860974,1.7683480843714803,3.641523739255493,2.185043642400567,2.9678936171860513,1.1216641626709385,1.5643710157933406,1.4332057519128414,2.032954591140512,1.891209598734688,1.9004649705078491,1.2408456613287826,3.6477413846817974,3.182850080286807,1.9201027427134367,1.526874428996468,1.651353183628503,1.4803081710635453,2.644049957286304,2.7228095681043927,1.5119855391468708,2.6113274475471444,2.086920433476455,1.5089139070147624,2.0289858117823885,1.8912802923597904,1.4984912960304206,1.5003347870119876
Azerbaijan,2.037325465934831,3.7008950467999786,3.2888854736465842,1.0,2.2092266593153917,3.0670513563236983,2.5903329572373393,2.111910621773616,2.5802518271065993,2.649590220063078,2.2253651982994826,2.4686436300558814,3.059532707571806,2.0220595221781466,2.5219631026820015,3.3233154187485363,3.0527992979561063,2.7154504498779057,2.4084318016198667,2.7742217831009732,3.755243693818612,2.4847844002021477,2.0553739762894043,2.1260130438368505,2.274303334497587,2.3307261104119372,2.400788283730088,2.323983064410725,3.2489949628538293,2.3079939837890495,3.111790846464448,3.4128985109221155,2.6428190092655797,2.444349347773126,2.082059807610738,2.5396421304954235,2.3227940510656806,4.359621900565927,2.1562589416031948,2.4743162765216073,2.105658910725059,2.665693888485376,2.338653951926077,1.9117862084389816,2.09333167255734,1.7883057605544097,3.3070861449253575,2.206312653731848,2.2172099175593827,1.9153399434309217,2.9485283068502266,2.579958333518247,2.399351042197405,2.7758539025552516,2.8754761051147595,2.2941061572551424,2.207860848026489,1.9392673040451338,2.6955800522199063,2.6005414659638775,2.3735904822698326,3.082879573582438,2.908529282224151,4.044611055313242,3.344024512453696,2.6348282979428492,2.2947709494660096,3.0514545894092024,3.04310414319731,3.064220110736806,1.675939679321013,2.5493496611853343,3.13536591809098,2.4868708539290205,2.3645098341967463,2.6907535514681595,3.8198342939457492,3.148007578577833,2.115509449298247,2.596295443220656,2.428490739492559
Bangladesh,1.9997722667691373,4.530324749947296,1.9773771686337485,2.2092266593153917,1.0,3.0538815530542727,2.171494377421751,1.5993777340160722,1.6212779474138128,2.968005391250339,2.649392724975886,2.1736276240809236,1.8647791733622268,1.9811186713241205,1.9587223498774555,2.2143516678049417,2.2356283789186735,2.5028121729218156,2.595180235890613,2.6520674807583813,5.435513681962318,1.4760568421825528,2.896353257838012,2.2067648076351496,2.6299670227732435,2.2110482429035407,2.302025116144219,1.7467040979564472,2.3245586998796477,1.6475577224778444,1.8957288476517737,2.615862689932594,1.1030886669132678,1.5592474443041324,2.827272333719636,2.519929903762756,1.538743378678888,3.97378845591264,2.1353389990908536,1.4934466651396205,1.4900978861085121,1.4241427477164275,2.2525569387256557,2.29028127438306,2.0478704419348173,1.6427650686144801,1.8429570510470477,1.9757444223263436,2.003224392371716,1.278321938401074,2.102384104311618,1.7893729386138333,1.2207395740909825,3.0662464918381587,1.9198247815033054,2.1666884131343456,1.3396178962473078,1.7466202071032637,2.292968820913939,1.6230687624865974,1.6251754586483633,2.698900653568456,2.7510325150037307,4.10693078937913,2.627041169107339,2.048899511951116,3.3723535240260216,3.351217405159147,1.5954257709523492,2.500343122398677,1.874232101889195,2.81995739164712,3.6824319802624617,1.1715338447607218,2.017826152365215,1.2865492694787466,2.8882517926580515,2.3043311914412135,1.3450414841605316,1.9102810855708303,1.4133075854337378
Belarus,3.1740704686274994,1.017982811115155,2.407230309807769,3.0670513563236983,3.0538815530542727,1.0,2.6937519788757305,2.7303546643651764,2.425098561863512,1.819003310797275,3.444217189769582,2.5742074040707146,2.4790059330119276,2.777632331903963,3.775492993139311,1.9388290179161187,1.6929705246762967,2.5024968487756447,2.4036650505486254,1.8685904475596475,1.145812475127702,4.002331243604849,2.568824890360635,2.7912252512151547,2.285813173187162,2.19572376420239,2.693695382918805,2.3010247229578114,2.1995320203968203,2.438752709735344,2.099566413563771,2.1848696945969923,2.7434095009229393,2.5424795410141217,3.0197074508536748,1.9989399928644631,2.3566121092259724,6.139608063245432,3.670536033508774,2.839894694928836,2.2967392850715154,2.2343514972021232,2.1048393834954244,2.6135482487272683,3.0008751010611316,2.623243826294015,2.437799974179067,2.474329573657338,2.6363652432822784,2.454243957913846,2.211011658796229,2.3371969598888,2.9456664433144146,2.6189092559699354,2.9355427001576966,3.3940839186536165,2.5436653371523175,2.519212981024541,2.284910998309649,2.36015395870342,2.598941229866388,1.6690369654223562,2.4550975947470226,1.3630103891323906,1.721474635418034,3.5729421625243365,3.0743756293289333,1.7471863822586284,2.8192451441254653,2.7001522591540423,2.411988175183363,3.069675891891209,3.3184756969148195,2.827581623462538,2.8482122571573285,3.574130962441171,1.9399238941421242,2.992571991718546,2.93951509676457,2.9121983531118114,3.39221803055735
Belgium,2.1564954252063484,2.3750285205455914,1.6198903244002985,2.5903329572373393,2.171494377421751,2.6937519788757305,1.0,2.269086816866644,1.6790279578468865,2.1111188860066292,3.1651943725518326,2.2168956639582524,1.4482265303575175,1.5654722098834721,2.604688529448007,1.6928437288325318,1.9465321078259936,2.150981381216531,1.5419570403493723,1.488609623385593,3.332198094361658,2.741004704164927,1.9829285904800278,1.5409858838311545,1.8229796313897624,1.1540897231273841,1.977325250126311,1.3874506798187798,2.18132774717489,1.5901397212432204,1.7587987864701546,2.009654599170115,1.9334786255226637,2.0541294997313178,2.750442816479089,1.6168970293462226,1.936100735701198,6.063788595395478,2.248588007667636,1.7593969942889374,2.04273074345911,1.5918926025940496,2.600688919906886,2.4583727248459586,2.683259949904434,1.7663895326754828,1.7891839876528004,1.8073313265145015,1.8729513659496908,1.9767078276596903,1.628334271785482,1.1591868261676064,1.8435930407886534,2.5515973041830184,1.7122107095556007,3.6827304144511945,2.3477013636206596,2.597946094744233,1.791136287265077,1.84081685433729,1.6705329513022904,2.616656258940687,1.9871195137287418,2.611149753194687,2.1287947115310533,3.555288765334405,2.48016671502053,2.433268102942664,1.5919572356543776,1.68997074260088,1.9644983360105248,1.9129683838033666,2.2663132941616446,1.8278008725572112,1.9461504642552803,1.9369227852083746,2.357299555855063,2.256435872079365,1.6280669730917323,1.3360729805770712,1.9497086301001918
Bolivia,1.9893085408400397,3.4219087211508374,1.8035849810298408,2.111910621773616,1.5993777340160722,2.7303546643651764,2.269086816866644,1.0,1.9704197811954196,1.991739003018322,2.1679195040198396,1.648399353961959,2.1051444843944243,1.4720098930596244,2.0654495889503934,2.029465104040278,2.2952329209961837,2.2796802588448157,2.094233202984378,2.0459957366860886,3.6008618913453145,2.309964895607486,1.6064313790841431,1.7446330516902313,1.6472961259863457,2.5087798579286513,2.084361333500536,1.8952561661387186,2.095376806754942,1.9869459007570776,1.922933429529302,2.359055890640519,1.43435654108016,1.5671259711667582,2.2257631696523497,2.250249237242868,1.644874845665617,4.4569660025156255,2.2558380493421066,1.5717437712915374,1.2312649469899108,1.8146233836199246,1.6050081048659928,2.0530074051733367,2.180880794919801,1.9141463328138282,2.293313951855293,1.5506482221200513,1.8354454285791204,1.9870054352900597,2.275074392112335,1.9334636646611931,2.0231656744642725,2.384767158180012,2.174824930427309,2.1102872873383376,1.8853481455397483,1.4370722076728972,2.024347302743347,1.5064623102619865,1.763383025874923,2.7367592283733875,2.9280407651133054,2.961048452462876,2.24457306634033,2.142029024625381,2.434439308365016,2.4532974122409925,1.8199070408698363,2.8549898388686996,1.5723860071639135,2.4909762961276996,3.193367520349933,1.2020303643106305,2.094606143593185,2.3906352427224338,2.6953221195094446,1.8859296507792611,1.8532243677326743,2.1971224266734435,1.570956994897385
Brazil,1.810802836962676,2.972345437151022,1.2950230100623397,2.5802518271065993,1.6212779474138128,2.425098561863512,1.6790279578468865,1.9704197811954196,1.0,1.90280006506446,2.797191624423331,2.0879589796862694,1.5182788057903756,1.5563556326613066,2.5566672901357803,1.337561610728413,1.6515813980648846,1.635233651642375,1.903219652375956,1.3004864125633793,3.676994672237352,2.1110721006694986,1.9046433852696785,2.1344174502107864,2.1299340406861873,1.5248106471038096,2.219083538997869,1.5134993179295921,1.6767583507966228,1.3314493908327814,1.2057642262027337,1.778381946735179,1.6069490361339362,1.2879986747057672,2.8536911195776273,1.425186120191734,1.2042763983372557,5.864984054797842,2.6756209525433383,1.2321822774230338,1.4099266614788606,1.315819062224451,2.441453284379018,2.100915927560925,2.9778501281773426,1.809235749357835,1.4582629160147873,1.5001591686122944,1.718493718610777,1.6318426646026016,1.0611961988365248,1.3405484612658782,1.3809465865012711,2.9369740581605654,1.8277386062055454,2.8434495728886025,1.9954897293420057,2.4252759144867886,1.128772419588167,1.5814310651547832,1.5034241874078111,2.1943805692090925,1.9681263664139963,2.5073075860503815,1.416015812437321,3.0631477385724497,2.750379769879925,2.3211449014962984,1.5533423764358774,1.8672091203525527,1.5900953930615522,2.579871042801992,2.957486123353505,1.578226497042912,2.377681294663091,1.8480429441733122,2.105518644146521,2.3368128254403175,1.7559156265374516,1.8001065196040174,1.0712186232106955
Bulgaria,2.278008917885303,1.605506691715534,1.6517763833138646,2.649590220063078,2.968005391250339,1.819003310797275,2.1111188860066292,1.991739003018322,1.90280006506446,1.0,2.9119191110254667,2.4533532547101493,1.8835101614384053,2.1652381959409586,3.43056219092766,1.6961901959748267,1.4082011108319725,1.2981330310989394,1.5981855233067055,1.486798877971021,2.0860659378399564,3.6601521906268886,1.4849674343649661,1.753215568585894,1.5538845815348417,1.7563377507848652,2.1607862535935127,1.9671647859476948,2.070469602610506,1.7422944407132364,1.5261599350081934,1.4760346735228238,2.190692349018984,1.9779878911713655,2.5085411144081315,1.220899366408787,1.9736673572615056,5.846510205713768,2.9008992773314644,2.1671895766722615,1.9643474159502499,1.7216996148594643,1.7603125425007575,1.8468206445769884,2.652748412790981,2.2593916006160604,2.042235026489921,1.887151755998401,2.063264495414623,2.2148785220023717,1.788951349036435,1.539720563256176,2.518173685832598,2.0952197919675513,2.596204118060018,3.1550399638470448,2.344752339885699,2.534670574634483,1.6949677326839248,2.4362056330118764,1.9692987067393075,1.920144945403039,1.9927353207611607,1.7420215283661358,1.4991208646787688,3.1920569047547227,2.491152818904351,1.7078823078019454,2.7329550345578153,1.6461723077610297,1.6009596541156583,2.112737030763046,2.331318408676559,2.099269452930468,2.607652577046019,3.441567253076589,1.7728781714192445,2.378739888500004,2.3991503720130254,1.7288724029216642,2.6113583076180817
