,loss,lr
0,12.177123069763184,3.90625e-06
1,12.168135643005371,3.90625e-06
2,12.162359237670898,3.90625e-06
3,12.16262435913086,3.90625e-06
4,12.155179023742676,3.90625e-06
5,12.14648723602295,3.90625e-06
6,12.141190528869629,3.90625e-06
7,12.136676788330078,3.90625e-06
8,12.128254890441895,3.90625e-06
9,12.120207786560059,3.90625e-06
10,12.113482475280762,3.90625e-06
11,12.106465339660645,3.90625e-06
12,12.097541809082031,3.90625e-06
13,12.091522216796875,3.90625e-06
14,12.085746765136719,3.90625e-06
15,12.077556610107422,3.90625e-06
16,12.070806503295898,3.90625e-06
17,12.065373420715332,3.90625e-06
18,12.0566987991333,3.90625e-06
19,12.051502227783203,3.90625e-06
20,12.04491901397705,3.90625e-06
21,12.03771686553955,3.90625e-06
22,12.03315544128418,3.90625e-06
23,12.026313781738281,3.90625e-06
24,12.019562721252441,3.90625e-06
25,12.01485824584961,3.90625e-06
26,12.007783889770508,3.90625e-06
27,12.002381324768066,3.90625e-06
28,11.996268272399902,3.90625e-06
29,11.992443084716797,3.90625e-06
30,11.98652458190918,3.90625e-06
31,11.981145858764648,3.90625e-06
32,11.976213455200195,3.90625e-06
33,11.969388008117676,3.90625e-06
34,11.965057373046875,3.90625e-06
35,11.959858894348145,3.90625e-06
36,11.954195976257324,3.90625e-06
37,11.948853492736816,3.90625e-06
38,11.944290161132812,3.90625e-06
39,11.940238952636719,3.90625e-06
40,11.935070037841797,3.90625e-06
41,11.930919647216797,3.90625e-06
42,11.924097061157227,3.90625e-06
43,11.921402931213379,3.90625e-06
44,11.916982650756836,3.90625e-06
45,11.911409378051758,3.90625e-06
46,11.908918380737305,3.90625e-06
47,11.903056144714355,3.90625e-06
48,11.900320053100586,3.90625e-06
49,11.894465446472168,3.90625e-06
50,11.891084671020508,3.90625e-06
51,11.886418342590332,3.90625e-06
52,11.88160514831543,3.90625e-06
53,11.876078605651855,3.90625e-06
54,11.87251091003418,3.90625e-06
55,11.868847846984863,3.90625e-06
56,11.863835334777832,3.90625e-06
57,11.859813690185547,3.90625e-06
58,11.8567476272583,3.90625e-06
59,11.851734161376953,3.90625e-06
60,11.84793758392334,3.90625e-06
61,11.843873023986816,3.90625e-06
62,11.839783668518066,3.90625e-06
63,11.836429595947266,3.90625e-06
64,11.83022689819336,3.90625e-06
65,11.8279390335083,3.90625e-06
66,11.82282829284668,3.90625e-06
67,11.820661544799805,3.90625e-06
68,11.814661979675293,3.90625e-06
69,11.812021255493164,3.90625e-06
70,11.808786392211914,3.90625e-06
71,11.803450584411621,3.90625e-06
72,11.801718711853027,3.90625e-06
73,11.79629135131836,3.90625e-06
74,11.793325424194336,3.90625e-06
75,11.790183067321777,3.90625e-06
76,11.78629207611084,3.90625e-06
77,11.78318977355957,3.90625e-06
78,11.777693748474121,3.90625e-06
79,11.77653694152832,3.90625e-06
80,11.770955085754395,3.90625e-06
81,11.7686128616333,3.90625e-06
82,11.766287803649902,3.90625e-06
83,11.761553764343262,3.90625e-06
84,11.758834838867188,3.90625e-06
85,11.754586219787598,3.90625e-06
86,11.752016067504883,3.90625e-06
87,11.750648498535156,3.90625e-06
88,11.746264457702637,3.90625e-06
89,11.74308967590332,3.90625e-06
90,11.741433143615723,3.90625e-06
91,11.736708641052246,3.90625e-06
92,11.732534408569336,3.90625e-06
93,11.729534149169922,3.90625e-06
94,11.725452423095703,3.90625e-06
95,11.72396469116211,3.90625e-06
96,11.720108985900879,3.90625e-06
97,11.716080665588379,3.90625e-06
98,11.714120864868164,3.90625e-06
99,11.709675788879395,3.90625e-06
100,11.707152366638184,3.90625e-06
101,11.70429801940918,3.90625e-06
102,11.70091724395752,3.90625e-06
103,11.699013710021973,3.90625e-06
104,11.69583511352539,3.90625e-06
105,11.69266414642334,3.90625e-06
106,11.69149112701416,3.90625e-06
107,11.687169075012207,3.90625e-06
108,11.685619354248047,3.90625e-06
109,11.681392669677734,3.90625e-06
110,11.678312301635742,3.90625e-06
111,11.675832748413086,3.90625e-06
112,11.673909187316895,3.90625e-06
113,11.66934871673584,3.90625e-06
114,11.6693754196167,3.90625e-06
115,11.666168212890625,3.90625e-06
116,11.663737297058105,3.90625e-06
117,11.659661293029785,3.90625e-06
118,11.657094955444336,3.90625e-06
119,11.653706550598145,3.90625e-06
120,11.651599884033203,3.90625e-06
121,11.649003028869629,3.90625e-06
122,11.64645767211914,3.90625e-06
123,11.644389152526855,3.90625e-06
124,11.640580177307129,3.90625e-06
125,11.638409614562988,3.90625e-06
126,11.634909629821777,3.90625e-06
127,11.633676528930664,3.90625e-06
128,11.627744674682617,3.90625e-06
129,11.628629684448242,3.90625e-06
130,11.62441635131836,3.90625e-06
131,11.622868537902832,3.90625e-06
132,11.620282173156738,3.90625e-06
133,11.617537498474121,3.90625e-06
134,11.617321014404297,3.90625e-06
135,11.612284660339355,3.90625e-06
136,11.610909461975098,3.90625e-06
137,11.609689712524414,3.90625e-06
138,11.606517791748047,3.90625e-06
139,11.602544784545898,3.90625e-06
140,11.600431442260742,3.90625e-06
141,11.596525192260742,3.90625e-06
142,11.595306396484375,3.90625e-06
143,11.59302043914795,3.90625e-06
144,11.588525772094727,3.90625e-06
145,11.587674140930176,3.90625e-06
146,11.583128929138184,3.90625e-06
147,11.581573486328125,3.90625e-06
148,11.577742576599121,3.90625e-06
149,11.575347900390625,3.90625e-06
150,11.574298858642578,3.90625e-06
151,11.570220947265625,3.90625e-06
152,11.568913459777832,3.90625e-06
153,11.564898490905762,3.90625e-06
154,11.563151359558105,3.90625e-06
