Country Name,Albania,Angola,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Bolivia,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Costa Rica,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Estonia,Finland,France,Germany,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,Kyrgyz Republic,Latvia,Lithuania,Madagascar,Mali,Mexico,Moldova,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,Rwanda,Saudi Arabia,Senegal,Singapore,Slovak Republic,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Tanzania,Thailand,Tunisia,Uganda,Ukraine,United Kingdom,United States,Uruguay
Albania,1.0,2.6718628440988414,1.5865875350625869,2.3585841975224286,2.854959708751294,1.6226853196202498,2.1019719173980387,2.4692361631711854,2.372992893596206,2.5964052372625406,1.7196815863557298,2.158690817859036,1.3681999132153608,1.7369059796228374,1.8795258526898373,3.02374948552985,1.8908455415554286,1.6456992961279686,1.950966740698469,1.850160519289024,2.645940250484316,2.073012409564025,2.3868544513685697,2.5013153146883926,2.8409977060711764,1.789545036692512,3.19403227991394,2.1652201841503076,2.232745989411565,2.5520061214046015,3.066973025489102,2.2693499380187863,3.5913852151073735,1.9774302994222521,1.6305818035596127,2.3424453275523094,1.83194726756931,2.0336170341577753,2.8652329655509376,2.7555961470571946,2.2695096771965284,3.0937159193390578,3.3331290170464656,3.1523936051480392,1.3733663634399917,1.4825055231617352,2.739649142387464,1.3991125874491432,3.255137573556119,2.5169840123738174,2.57979238821109,2.0754544872067666,2.4265739947115383,2.432725504506336,2.8772178436192974,2.457972573065291,2.4900921870618595,1.7727540217034936,2.4246973844291535,2.460286036936019,2.1264092580474916,2.4666539260938025,1.8781506982579697,2.28388463005734,2.063691749605138,2.6165786143471523,1.8548729840315563,2.8427263100134637,3.723255212499614,2.4614896436063027,2.32092500158618,1.8060563354578452,3.17913599012356,2.59473298218453,1.564847435241641,1.7790607459538021,2.7614786908848927,2.3231766704355152,1.944118019530488,2.1153517753459226,1.8333977951972487,2.486913788409785,1.625310654968098,2.5857313760268195,1.805408446813165,1.7767467568996729,1.9155920532349007,1.9092351744181975,1.7018633610004983,2.908020625591713,2.2593454389501884,2.1177174013393882,3.539928561349168
Angola,2.6718628440988414,1.0,2.423707531877807,3.699168173562189,2.3477010291305187,3.2487364888194294,2.1786082452684994,3.598343064071353,3.0730372252639766,2.903655906079728,2.8495518800042126,2.6261816373959053,2.556434460796323,2.319711191239959,3.1548698541966362,2.3679337073918862,2.7010744452474307,2.67989999889234,2.6538452379071504,2.782020420633256,3.569002299555144,3.2803270309132424,3.323547916037873,2.8109535972864443,2.2180195937019684,2.965328314960068,3.5085596891216473,3.0631475712601537,3.131593612023363,4.086511116170959,3.158077073571138,2.0168619972581605,3.488551963271372,2.2268809311984326,3.2971229964729045,4.039882107018121,2.6596419593819833,2.70556867004772,3.38207281776734,3.9721296375407413,2.9019733255932985,3.763632059184404,3.380418380890088,3.3066864790693287,1.9870366017584233,1.9702131870645534,2.104844660380413,2.3809201324413953,2.8386407932698923,3.5372185329710257,2.8759872193428384,2.4325096556456263,3.8095691339597577,2.2201555203806294,2.8710357239282738,3.52621250586433,2.4225519985696025,2.764974529533107,3.206922838552754,3.9099467057132022,2.9189613022230283,3.2334491693010268,2.4006672871727357,2.9286136187554215,2.3271639265629562,2.2016253685602822,1.892080350421258,2.6735222896163267,3.0354622670701983,2.6827696946995347,3.5886665138796396,2.7899098932537707,4.527945892332726,2.65861792186215,2.791612365946596,2.4136835521101374,2.8877360674881998,2.820067120731607,2.3573382101219837,2.9704571839127305,2.626641871126355,4.096331801349156,2.579504142297064,3.3446551911472038,3.1604869116994325,2.9536908001740407,3.0399054748084975,3.216396497370923,2.6711335792035125,3.1222625586168404,4.00932010253588,3.463776356820509,2.9383655646997253
Australia,1.5865875350625869,2.423707531877807,1.0,2.454267504109157,2.087403925158912,1.3584576181895867,2.1525455696317075,2.36658244531002,1.7412253390019017,2.4278545157581197,2.2270037916499508,1.3170473496305823,1.1153766625000157,1.0924001333773457,2.2047436750766343,2.7727825969858815,1.648981779112603,1.0348424940713667,1.9027698342099661,1.6186424555217538,2.7591374693844286,2.362839920086307,2.644274646038725,2.0947837409470225,2.240167754238854,1.198932565292101,2.3841905156766194,2.3888181085493008,2.7589797437296286,2.6679805503848497,3.0679494886501413,1.4659645887251995,3.1305150330562475,1.4051973580908568,1.6730624644250205,2.7650074922247607,1.5157379193925513,1.1856396373338014,3.2317160597044117,2.6911564332441307,1.8672175982148513,3.566773548976919,3.3555097664435776,3.2602755195409605,1.8001446166056478,1.590280128126251,1.7403167250987053,1.2328795127949739,2.9682506667348743,2.6442394289333246,3.2057776290424664,2.1046994952773415,2.7576994313148964,2.0957319434473654,2.5105220428438857,2.393168275336116,2.0370065916648574,1.6644485288452298,1.855629943859409,2.6405660489352654,1.5930651859933453,2.182183653925188,1.4488327739992728,2.4307259680037197,2.2259001136030916,2.6504066262982833,1.3797816385623047,2.1571797386977716,2.7050694657916137,2.288352220223,2.01084763343717,1.7228703800702192,3.5147589634599132,2.62639975958926,2.0079840824305735,1.5585698854856331,2.751765912225978,1.4936475335831265,2.1760377739175643,2.2704764663983505,1.8745322237072493,2.868503878044403,1.5047404960251567,2.3201646720627864,2.022652803973417,1.1267204008916794,2.02548622663306,2.1350600991096207,1.1534959722343794,2.7748658213930026,2.336332256912011,1.9728129453047354,2.9796644225073914
Austria,2.3585841975224286,3.699168173562189,2.454267504109157,1.0,3.5717017896241225,2.5233434760201714,2.9898356054394704,1.653377299821119,2.0627546480583767,2.975995990042305,2.4168566945134784,2.843187829203333,2.322900926520866,2.6374211463459725,1.7600849999194983,3.651925981886781,2.502239595524866,2.8590684945306073,2.1742744594852983,2.728381194006059,2.4364743326113443,2.031999062430691,2.418417735890671,2.8751125536444357,2.87896428455091,2.5039920339610022,1.7449254623721064,2.344190096260336,2.6191205762766323,1.5284847651483304,2.485930733197379,2.6519795358056766,2.7735214759084057,2.540415705693352,1.857479943121211,2.908214075719971,2.5556415143900404,2.820796831161543,3.8195952245681206,3.3688090020423047,2.79667842593527,2.5674654225636173,2.1309517323103893,2.762557549265459,2.7554231752937257,2.2985613562386042,3.023642152839882,2.5806409709182088,3.5520695217137948,2.841940329283627,2.77830783655943,2.485223520675698,2.992022063103267,3.0848704139859935,1.617129575834538,2.5987437701792295,2.6866147653327137,2.4310676439217884,3.4317049790548455,2.1097544340005974,2.831615942878808,3.57575542275976,2.864734187175443,2.5861889188165694,2.7879213417068214,3.3684522227539637,2.5310651334697085,2.115292551595399,4.146330703922196,2.0439361358620114,2.3103002114778253,2.3913343441728614,2.360461175195709,2.7722690148984546,2.2399711406898604,2.7161606956087896,3.672814758871363,2.8616831863457817,3.0110143019544675,2.5815728358639807,2.1473693562488365,2.2414578117810393,2.637800105384958,2.572253370432863,2.70127217228216,2.3781355721724906,2.6632337982062375,1.9015358722150575,2.5030842316212767,2.8866530370708343,1.559368233744448,2.2637422113507313,3.9724143968654024
Azerbaijan,2.854959708751294,2.3477010291305187,2.087403925158912,3.5717017896241225,1.0,2.924753608605186,2.075126035929093,3.6319842691666286,2.9702368563526886,2.8448719054091147,3.174162789938563,2.4979053516387233,2.7352707679480086,2.149596172195411,3.058631139118546,2.447708289496192,2.5009788728191737,2.148528285530318,2.8089455332180657,2.4428218481589936,3.634991621983095,3.3126243204727777,4.042883940319965,3.7047383901484476,2.443396245990713,3.3942237043891383,4.269218252448333,3.4201861214455347,3.314201622550668,3.5322407919757612,4.037620770811377,1.857704870317325,3.5070246370500566,2.7835048469694086,3.366568233509771,4.042398948665345,3.2841782644014232,2.9635898434669246,3.8207844698202313,3.6213204226457285,3.865462661828818,3.6735121045177976,3.456879583955123,3.3502640703306312,1.874822547297641,2.7155684991583064,2.5910346826950734,2.412231940643622,2.584174776771631,3.7807291307453723,3.3383373230041804,2.806512236098544,3.4037387939105135,3.221299352637371,3.4809941356316547,3.5259442260765215,2.2193354932918217,2.5806767912989517,2.7452637631910144,4.0559026731844785,3.477739488830877,3.941704316834797,1.452629679782464,3.623282237329098,2.56590853267232,2.846030387637232,2.349537344159928,3.126497118103605,2.9580980615386356,3.1435076434150147,3.9823789603997195,2.9894114513921304,4.385967936416693,3.6356160158655277,2.531726149337144,2.9403547587000545,2.7288818670672894,2.6169759074937993,2.334374753185604,2.838322848378113,2.2065151202932953,3.432069581977748,2.6073019829873685,3.595734493084181,3.3664163263178213,2.334844023024737,3.118827451881616,2.798574254849909,2.6101003277891257,3.091823561458725,3.49867830073499,4.0774874285337015,3.274572324407572
Bangladesh,1.6226853196202498,3.2487364888194294,1.3584576181895867,2.5233434760201714,2.924753608605186,1.0,2.2855610291035737,2.569272099053699,1.646724842268207,2.69066225497375,2.1594755468217643,1.270868987161007,1.4371713051995676,1.1914280766650505,2.2723212077961694,2.9983820896790663,2.0285587130043967,1.1701633400175955,1.7194648971946813,1.6318458764352508,2.7677291089058436,2.3506024535187455,2.8902141175197134,2.2789534836726797,2.557416489518629,1.263192626837264,2.687923351594673,2.3394852236553314,2.9825691291195735,2.7631859822841545,3.1966657077928664,1.4765559991302564,3.9747002455799576,1.4784740843236082,1.9077923156770018,2.624298057141262,1.2626976958516285,0.9553994548877696,3.310221265995385,2.5189734583968773,2.353697228251186,4.407136246309654,3.3234018074419494,3.461740629555361,1.2880704957985583,2.2022301176754233,1.6002625124308625,1.5446895750110028,3.64736083681391,2.6805374558228383,2.4065349236468614,1.8462286245311752,2.3149617690997726,2.2856551556772304,3.087246089587774,2.64331428381665,2.1496984844855334,1.9335087477305548,1.885115867768742,2.8323144133372047,1.4006891803346004,2.2059226309822644,1.5945969790034762,2.6354860801527975,2.4042643222228173,2.8758882329451616,1.3634792543562921,2.223074929973844,2.6802145024459967,1.8940469182931787,1.4446985571416329,1.6877283642908494,3.513457474185933,2.692722762018589,2.5082776969040976,1.5390857585987716,3.0159020141829522,1.5101306245286488,2.403186054123803,2.080279332689023,2.101334468709781,2.944262253451756,1.4893724303684839,2.759775857814745,2.3031111196292837,0.8514490692789658,2.104559127015224,2.197709581515829,1.1876545355726305,3.0640469007819706,2.4317083716171064,2.167169543476935,3.262174080407515
Belarus,2.1019719173980387,2.1786082452684994,2.1525455696317075,2.9898356054394704,2.075126035929093,2.2855610291035737,1.0,2.771969290114913,2.538332105337191,2.1041000924486646,2.4109450702521373,2.323921209964132,2.0175333295459907,1.9521641645426413,2.5183217668323343,1.8023460988686981,1.983636878372095,1.699970672993739,2.3744543498366917,2.0377352980892818,3.116034366981703,2.8301613815651856,3.349899318095584,3.366934124435418,2.286012146546332,2.502020829240855,3.532115406500696,2.5565260042421074,2.628599483626293,3.32045789873566,3.4555994339587053,1.9493630775023683,2.8283213564157452,2.4187965538062133,2.715902236902409,3.113144447656324,2.6147363651464444,2.358079618571769,3.115792820440465,3.506603659260823,3.0574936088538105,3.3786763247370724,3.051343133100934,3.483217081907132,1.6573441300129617,1.9236585911907542,2.203084007507982,2.197187463928936,2.542176539535887,3.2294603804157296,2.158729148027337,2.3797560093386294,3.2500958273820317,2.702932971573185,3.3738810784678646,3.1362649698850786,2.463825843092477,2.396433507609492,2.7578553123436214,3.3702808978143164,2.5853085190510385,3.00729292116174,2.0020558361611767,2.889687151929724,2.1972811598520607,2.7389015169385984,1.9209573507018287,2.6768495578253,3.249722260284886,2.1520744467925876,3.5912355560101634,2.7566738813138767,3.635682635032661,3.0546979632640268,2.127425148912692,2.3120510181481206,2.960856276021626,2.0741031372448164,2.547414823393075,2.388878697348308,2.0461579909831515,2.734350449491903,2.25109845643989,2.92675934885354,2.7764648951191897,1.9892682920641158,2.4504695595269244,2.5032984373646894,2.193755102088469,2.597451412752662,3.186905788431443,3.2100685040830013,3.433455852012147
Belgium,2.4692361631711854,3.598343064071353,2.36658244531002,1.653377299821119,3.6319842691666286,2.569272099053699,2.771969290114913,1.0,2.2785989299769267,2.7413703063760204,2.3197356839496144,2.768230053490828,2.4883940634575676,2.650595559890025,1.600479363369644,3.647715622748379,2.2736022080976133,2.6874714511254174,1.8519099924078597,2.289857057569807,2.3748127819781715,2.3894987506403296,2.4397961627798797,2.4288879376383683,2.6767175628961954,2.2970194563400774,1.963201647560847,2.6215597329174525,2.9140248592736926,1.7267565027113583,2.5089696613803163,2.719027150244887,3.1732941594314457,2.376178766532335,1.81708748938227,3.007015834319132,2.3771985245827723,2.8497058085868527,3.6966832025678955,3.0231202300138404,2.5619965344067213,3.2357674369618534,2.733691699916484,2.867596195088363,2.8103902848543836,2.499299699189908,2.903810828509628,2.4565122052132486,3.2861945274601903,2.677998531455033,2.8780984606585043,2.808133473758808,2.921510111902217,2.8333468240253294,2.168158875281961,2.7464265944745962,2.5776766875371964,2.369514842566378,3.132155283872358,2.490308664621947,2.8743615272587735,3.506536511922178,3.19046737847627,2.395415423582321,2.6047919261362757,3.6683707588841776,2.569537827454895,1.8893337566937094,3.803952036044787,1.8171989858535933,2.178348483840613,2.5495026266012517,2.6291278282595805,2.7317726608312123,2.739300469620052,2.5853187241756235,3.583167174740235,2.8157331055665593,2.6110199621021293,2.4150167391899835,2.164071590094725,2.2359746596910632,2.7739142541776634,2.350046589473854,2.1815982655217274,2.648854841170471,2.0520111679610546,1.9758600333272585,2.5240663563040284,3.615845368459993,2.118579141972316,1.806602272211422,4.2690149077376836
Bolivia,2.372992893596206,3.0730372252639766,1.7412253390019017,2.0627546480583767,2.9702368563526886,1.646724842268207,2.538332105337191,2.2785989299769267,1.0,2.5846379127073957,2.6083556519241204,1.6886398542184844,1.8533078532351066,1.5558751812937284,1.9316282205966635,3.4637657688021073,1.6954672566643247,1.5166869501926026,1.1013648346183729,1.880258963120069,2.6104139588321384,2.2525520780745154,2.744089484773089,2.0546714201150205,1.979391458248674,1.8369828890134983,1.5965127411679003,2.895748151395854,3.2586972142811312,2.498582721775825,2.7034876002394763,1.746576064483358,3.60167466355844,1.832263854296085,1.2424351358119852,2.7711758049764263,1.2915210850263386,1.3676301603513266,3.74925189883918,3.220213029823272,2.146622630652755,3.967677919596322,2.8541487312003824,2.7847079075047816,1.6896974244004856,2.65981328423026,1.9987931904982237,2.582549446849142,3.2059181996455433,2.6199597083755646,3.0061162446877834,2.4099284610360665,2.7773202391102125,2.476718417493039,2.4040756011798154,2.186429122710724,1.9579407768928938,1.7211140414910855,2.492725439832771,2.4442630975408677,2.075083451188631,2.256928754568793,1.955223178249436,2.360129669238604,2.922923518782953,2.943797041036774,2.1423785116539515,1.2855792699405162,2.9908790885584295,1.0011315489207862,1.0415290209240549,1.970379809367782,2.977627713390455,2.7090723763901003,2.7724685114789005,2.0415600813618657,3.2093443125462766,1.9297965788389415,2.5920479386865716,2.1739151730366406,1.6331018426997612,2.767396189717633,1.9316887245461867,2.870821739657074,2.468766651785794,1.2465960708809072,2.200276793061477,1.722075472218452,1.6090285384839098,3.4476422997752896,2.1911361902072723,1.9227797684002155,2.701194468110769
Brazil,2.5964052372625406,2.903655906079728,2.4278545157581197,2.975995990042305,2.8448719054091147,2.69066225497375,2.1041000924486646,2.7413703063760204,2.5846379127073957,1.0,2.582068103476116,2.8326082636258647,2.598246317109644,2.483678970921969,2.3649087577409036,3.059462551175743,2.3112224236073238,2.3995608064568024,2.507521331433217,2.30306918817366,3.265057962728381,2.4807950421144853,3.274725044074073,3.0066384691741,2.4122727969313096,3.095990674264994,3.436281055678105,2.748792606561259,3.1748892935409336,2.9491395592363876,3.2063041944322492,2.5132022550039883,2.698253621098145,2.7916884841809018,2.918138328386846,3.028342459839261,2.534872889816962,2.7065299330074835,2.7726225845393335,3.7904191634642275,3.1114689180140216,3.6885291662570396,3.276159522381229,3.630478735488242,2.2954935460978,2.6366178573373147,2.5485496528896086,2.866257505238942,2.7174262596960004,2.9130602323167842,2.752028771099167,3.1439406314840443,2.789000781911757,3.3367849720842657,3.3051087027933717,2.795213538745609,2.6051627176913112,2.551994657606855,2.833378576166167,3.234911218313971,3.137424748192721,2.922596040880983,2.5791442823345414,2.897935996445918,2.623456003472412,2.640780005214736,2.6482491418284075,2.888728874706118,3.161315560383044,2.3930395787160266,3.2092642022953446,2.7977759310379615,3.7986057978314065,2.844029628272681,2.7641805037909597,2.852905087314727,2.6554313742385167,2.8083214727461367,2.091474227682061,2.642797814120147,2.7328277503004372,3.0146449013888343,2.7600452002332414,2.2350752633341804,2.754962484614551,2.595842114898967,2.4504409408340266,2.570056460058865,2.457206162887431,2.7223912958033414,3.0267247885941835,2.524336989912678,3.10559019029533
