,loss
0,1414.47021484375
1,1397.6640625
2,1374.34716796875
3,1342.00390625
4,1297.9844970703125
5,1238.4830322265625
6,1161.1175537109375
7,1061.1146240234375
8,940.5616455078125
9,826.6241455078125
10,758.22021484375
11,744.7105102539062
12,687.578125
13,617.88525390625
14,601.237548828125
15,588.768310546875
16,566.9987182617188
17,558.1944580078125
18,551.087890625
19,542.6546020507812
20,541.2871704101562
21,535.7389526367188
22,532.2974853515625
23,529.3683471679688
24,525.0476684570312
25,522.3958740234375
26,520.8042602539062
27,518.7413940429688
28,515.0476684570312
29,512.3231811523438
30,509.7379150390625
31,506.7854919433594
32,505.1988220214844
33,503.2000732421875
34,501.3291320800781
35,498.1904296875
36,496.5601501464844
37,495.6263732910156
38,491.0721740722656
39,491.8524475097656
40,488.6211242675781
41,486.5804748535156
42,483.43402099609375
43,478.726806640625
44,473.9559631347656
45,470.5542297363281
46,465.9707946777344
47,464.25360107421875
48,458.4962158203125
49,454.6129455566406
50,447.2536926269531
51,443.7674255371094
52,435.6793518066406
53,430.2017517089844
54,424.7352294921875
55,416.9278564453125
56,417.8086242675781
57,411.0142822265625
58,407.5105285644531
59,406.28350830078125
60,398.907470703125
61,397.7677307128906
62,399.1331481933594
63,389.6558837890625
64,391.7369079589844
65,390.536865234375
66,382.46270751953125
67,380.8370361328125
68,379.4670104980469
69,376.9753723144531
70,375.1979064941406
71,373.31146240234375
72,371.9275817871094
73,372.9768981933594
74,371.9732360839844
75,371.0308532714844
76,369.1524658203125
77,368.25018310546875
78,366.88238525390625
79,364.05706787109375
80,361.494873046875
81,360.7560119628906
82,365.4552307128906
83,368.8190612792969
84,372.5362243652344
85,360.6517333984375
86,359.5726013183594
87,357.50457763671875
88,359.4598083496094
89,356.111083984375
90,356.9411926269531
91,360.9689025878906
92,357.5343322753906
93,355.3280944824219
94,354.9575500488281
95,353.1305847167969
96,353.841064453125
97,353.7151794433594
98,355.61590576171875
99,356.8704528808594
100,352.5124206542969
101,352.10382080078125
102,353.2406005859375
103,354.6177062988281
104,353.1619873046875
105,351.5578918457031
106,350.6340026855469
107,348.4927673339844
108,348.4609680175781
109,351.2658996582031
110,350.0462951660156
111,348.2119445800781
112,349.0177001953125
113,349.916015625
114,345.82281494140625
115,344.94696044921875
116,342.9669189453125
117,344.4719543457031
118,344.8192443847656
119,342.56365966796875
120,339.71612548828125
121,339.1902770996094
122,340.3641052246094
123,338.00140380859375
124,335.85858154296875
125,334.4142150878906
126,333.2945251464844
127,333.58734130859375
128,330.7089538574219
129,329.6896057128906
130,334.61602783203125
131,329.1759033203125
132,327.38739013671875
133,324.5997314453125
134,325.202392578125
135,323.2135009765625
136,324.510498046875
137,318.76104736328125
138,317.4237976074219
139,316.3885498046875
140,317.5330505371094
141,319.28472900390625
142,314.675537109375
143,312.5396728515625
144,318.5916442871094
145,313.63153076171875
146,319.2716064453125
147,310.44097900390625
148,316.8686828613281
149,306.95318603515625
150,303.06170654296875
151,301.9837951660156
152,300.8915100097656
153,298.1097106933594
154,298.6304626464844
155,296.65301513671875
156,298.8844909667969
157,297.46893310546875
158,294.9285583496094
159,294.5774841308594
160,295.09619140625
161,293.7955322265625
162,292.4217529296875
163,291.9843444824219
164,293.9960632324219
165,290.9895935058594
166,294.0216064453125
167,292.90484619140625
168,292.3960876464844
169,294.4791259765625
170,290.0169982910156
171,288.5057678222656
172,292.2354431152344
173,290.33795166015625
174,288.7937316894531
175,289.01458740234375
176,293.0874938964844
177,289.7156066894531
178,288.82958984375
179,287.29296875
180,287.6665344238281
181,287.2909851074219
182,286.46478271484375
183,287.6018371582031
184,286.90802001953125
185,287.8852233886719
186,286.22161865234375
187,283.8742980957031
188,283.5094909667969
189,282.4190673828125
190,284.1380310058594
191,286.01812744140625
192,284.99102783203125
193,285.9812316894531
194,284.4040832519531
