,loss
0,1412.591064453125
1,1378.798828125
2,1330.615966796875
3,1260.1885986328125
4,1159.103515625
5,1022.3352661132812
6,852.6988525390625
7,714.6852416992188
8,673.18115234375
9,612.5173950195312
10,554.3915405273438
11,552.8150634765625
12,553.842529296875
13,551.0601806640625
14,544.71142578125
15,534.2525024414062
16,529.7682495117188
17,524.815185546875
18,517.5206909179688
19,514.74609375
20,511.85968017578125
21,505.3333435058594
22,501.4096374511719
23,501.50421142578125
24,497.4107971191406
25,492.3135070800781
26,484.6842956542969
27,480.407470703125
28,474.3525085449219
29,468.1973876953125
30,459.70703125
31,455.7801513671875
32,444.1108703613281
33,436.8746337890625
34,426.9925842285156
35,420.3539123535156
36,411.0435791015625
37,400.71990966796875
38,392.7910461425781
39,386.743896484375
40,384.8331298828125
41,381.25946044921875
42,378.10418701171875
43,376.7322998046875
44,372.5768737792969
45,371.14776611328125
46,371.689208984375
47,366.9907531738281
48,361.5528564453125
49,364.0560607910156
50,369.5767517089844
51,365.4084777832031
52,368.0184631347656
53,359.75152587890625
54,358.11395263671875
55,362.87548828125
56,356.8789367675781
57,356.234619140625
58,353.1045837402344
59,348.89190673828125
60,356.2378845214844
61,350.0953063964844
62,347.6304931640625
63,345.8937683105469
64,344.7275695800781
65,340.65106201171875
66,341.548828125
67,340.9599304199219
68,340.0726318359375
69,338.2629089355469
70,337.84503173828125
71,338.3762512207031
72,335.5967712402344
73,332.0478210449219
74,328.4990234375
75,327.3629455566406
76,329.869873046875
77,326.92938232421875
78,333.6737365722656
79,326.3609619140625
80,323.5537109375
81,315.02044677734375
82,313.3885192871094
83,311.6640625
84,310.09393310546875
85,306.4884948730469
86,304.47222900390625
87,302.212890625
88,301.56072998046875
89,299.1910095214844
90,301.2386169433594
91,295.3061828613281
92,298.5364074707031
93,294.7169189453125
94,295.6687316894531
95,294.7732238769531
96,291.5425109863281
97,291.21484375
98,298.1044921875
99,290.1742248535156
100,291.0006408691406
101,294.5476379394531
102,289.63287353515625
103,291.8079528808594
104,290.5350341796875
105,291.1289367675781
106,287.678466796875
107,285.3852233886719
